Month,NumDeposits
2007-12-01,3
2008-01-01,2
2008-02-01,6
2008-03-01,9
2008-04-01,2
2008-05-01,4
2008-06-01,3
2008-07-01,2
2008-08-01,0
2008-09-01,1
2008-10-01,0
2008-11-01,1
2008-12-01,0
2009-01-01,0
2009-02-01,1
2009-03-01,0
2009-04-01,2
2009-05-01,12
2009-06-01,46
2009-07-01,26
2009-08-01,9
2009-09-01,1
2009-10-01,18
2009-11-01,8
2009-12-01,8
2010-01-01,8
2010-02-01,14
2010-03-01,29
2010-04-01,14
2010-05-01,13
2010-06-01,15
2010-07-01,19
2010-08-01,24
2010-09-01,22
2010-10-01,9
2010-11-01,29
2010-12-01,35
2011-01-01,46
2011-02-01,54
2011-03-01,68
2011-04-01,50
2011-05-01,87
2011-06-01,70
2011-07-01,62
2011-08-01,48
2011-09-01,77
2011-10-01,74
2011-11-01,88
2011-12-01,79
2012-01-01,103
2012-02-01,86
2012-03-01,108
2012-04-01,72
2012-05-01,87
2012-06-01,106
2012-07-01,80
2012-08-01,109
2012-09-01,102
2012-10-01,184
2012-11-01,119
2012-12-01,90
2013-01-01,151
2013-02-01,176
2013-03-01,148
2013-04-01,161
2013-05-01,229
2013-06-01,186
2013-07-01,170
2013-08-01,199
2013-09-01,164
2013-10-01,179
2013-11-01,154
2013-12-01,132
2014-01-01,208
2014-02-01,193
2014-03-01,188
2014-04-01,224
2014-05-01,207
2014-06-01,242
2014-07-01,267
2014-08-01,161
2014-09-01,221
2014-10-01,256
2014-11-01,252
2014-12-01,317
2015-01-01,248
2015-02-01,262
2015-03-01,359
2015-04-01,334
2015-05-01,314
2015-06-01,363
2015-07-01,362
2015-08-01,378
2015-09-01,369
2015-10-01,355
2015-11-01,296
2015-12-01,325
2016-01-01,325
2016-02-01,299
2016-03-01,331
